text,111,112,113,114,115,116,121,122,123,124,125,126,131,132,133,134,135,141,142,143,144,145,146,211,212,213,214,215,216,217,218,219,221,222,223,224,231,232,233,241,242,243,244,245,246,247,248,251,252,253,254,255,256,311,312,313,314,321,322,323,324,325,326,411,412,413,414,415,416,421,422,423,511,512,514,515,521,523,524,525,526,531,532,533,534,535,536,541,542,543,544,545,546,547,548,549,551,552,553,554,555,556,557,561,562,563,564,571,572,573,574,575,576,577,611,612,613,614,615,616,617,631,632,633,634,641,642,643,644,645,651,652,653,711,712,714,715,721,722,723,731,732,733,734,735,811,821,831,841,851
I helped my friend with a difficult situation&#10;I didn&apos;t really have any major or noticable ones but i was happy to help&#10;Communicated&#10;Nothing much&#10;Nothing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"I went to the Durango state championships to support my mountain bike team. I rode with the team on the warmups, cheered them on as they went, and volunteered at the venue to support the race event.&#10;I thoroughly enjoyed being there to support my team. I was excited to be around in all the action, and happy to be a helper.&#10;I volunteered at the race venue and the announcer&apos;s booth and cheered on my team from the sidelines.&#10;I learned how to be an announcer for a sporting event.&#10;I wouldn&apos;t do anything different.",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I helped Eric with watering the plants and cleaning the whiteboard.&#10;I wanted to feed the spiders but my brother wanted to do that so I couldn&apos;t, I also watered one the plants too much so then the bucket that it was in was leaking.&#10;I first dusted the shelves which did not take long because my friend helped me and then I cleaned the whiteboard but I couldn&apos;t reach the top so my brother had to help, and then I watered the plants which I did a little too much on one of them.&#10;I learned that I cant water one of the plants too much because then the bucket would leak.&#10;I would try to not water the plants too much.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I talked to my mom about my mental health and looked into group programs to help.&#10;I was relieved but also anxious.&#10;I looked into some group programs with my mom and called a few places.&#10;I learned that it&apos;s best to reach out for help.&#10;I would reach out sooner.,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"this experience I organized some wires for the tech person because people were mixing up her wirer, and we cleaned computers&#10;that this would take a while and that it would take extra time to do this&#10;computers wires boxes iPads&#10;I learned how to reboot an iPad were its at the newest iOS setting&#10;I would get stuff before we started this",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
me and noah helped kalina sort through her cabinets and re-organize them.&#10;it was hard to re-organize the cabinets how kalina wanted&#10;we talked about it with kalina and we created a plan/layout&#10;i learned to be patient and wait for others input&#10;i would have created the plan sooner,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The topic of abortions and women reproductive health came up in a conversation with my friend group. We were very split in what we thought. I decided instead of shutting down and invalidating the feelings and views of my friends to be open and listen to what they had to say.&#10;I was frustrated at first that they had such strong opinions about this one topic. I felt at ease when I was open and curious about what they had to say.&#10;I listened, I put my phone away and maintained eye contact. I asked questions and did not raise my voice.&#10;I learned that not everything is black and white. I can&apos;t assume the reasoning behind someones views.&#10;I would have start off open rather than deciding the be open mid way through the conversation.",1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"In 2020 I had a very hard time mentally, financially, and socially in my life. I created a list of the big roles I wanted to accomplish this year. I wanted to get my license, I would be the first women in my family to be able to have her license and drive. In my culture women driving isn&apos;t common. I made many other goals with which most I accomplished.&#10;I was a little overwhelmed at first because I thought I had to complete all these goals all at once. I was also excited to transform my self and my life.&#10;Once I wrote down my goals, I broke them down into more manageable small goals. I also set time lengths with when I want each goal to be accomplished. I also told my family and friends about my goals so they could hold me accountable and support me.&#10;I learned how to set realistic measurable goals. I learned how to better organize my time in order to achieve my goals. I have learned to honor my life outside of school and work.&#10;I would have made a couple of the goals more realistic.",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
We did our halloween group ride on monday before we closed the barn. Everyone dressed up both themselves and their horses and we did games on horseback.&#10;It was really fun to see everyone&apos;s costumes and to play the games. It was also really great to see Nevera behave with a costume on and with the kid that was on her.&#10;After our group ride we all ate dinner and talked about the history behind halloween and a little bit of the brain science behind why people like being scared. Then the older group stayed behind to close the barn.&#10;I learned more about the history behind halloween and how it has some origin from Ireland. We also where read a new quote.&#10;I would have gotten to the barn a little sooner that way I could have gotten the socks on Shogis ears but otherwise everything went really well.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
